,"Parksville Water & Sewer Upgrades
Arrowsmith Dam
I/O Checksheet - SAT",,,Date:,28-Oct-25,,Rev:,Date:,Revised By:,Description:,,,,,,
,,,,Created By:,Burke,,A,22-Oct-25,Burke,,,,,,,
,,,,Checked By:,,,B,12-Nov-25,Scott,,,,,,,
,,,,SO No:,4850,,,,,,,,,,,
,,,,Rev:,A,,,,,,,,,,,
,,,,,,,,,,,,,2025-10-28 11:00,TIME DATE ,TIME DATE,
PLC IO,,,,,,,,,,,,,,,,
RACK,SLOT,MODULE,TYPE,SIGNAL,CHANNEL,ADDRESS,INSTRUMENT TAG,PROGRAM TAG,INSTRUMENT DESCRIPTION,IN SCALE,OUT SCALE,EU,PLC VERIFIED,HMI VERIFIED,SCADA VERIFIED,COMMENTS
,,,,,1,N/A,PT_10_505,PT_10_505,MAIN PRESSURE,,,,BB,SW,,PT_10_505_HMI
,,,,,2,N/A,FT_10_501,FT_10_501,SIPHON FLOW,,,,BB,SW,,FT_10_501_HMI
,,,,,3,N/A,PT_10_506,PT_10_506,SIPHON PRESSURE,,,,BB,SW,,PT_10_506_HMI
,,,,,4,N/A,LT_10_502,LT_10_502,RESERVOIR LEVEL,,,,BB,SW,,LT_10_502_HMI
,,,,,5,N/A,TT_10_503,TT_10_503,OUTSIDE TEMPERATURE,,,,BB,SW,,TT_10_503_HMI
,,,,,6,N/A,ET_10_504,ET_10_504,BATTERY VOLTAGE,,,,BB,SW,,Gen_Batt_10_504_HMI
,,,,,7,N/A,-,AI_S4_SP7,SPARE,,,,SW,NA,,Updated Program Tag name
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
